n_trades,total_pnl,mean_pnl,median_pnl,win_rate,avg_trade_size,pnl_std
3123,373043.4417,119.4503,2.7995,0.7061,4093.8034,2501.6558
7283,366066.8068,50.2632,8.9191,0.7862,6056.6511,1050.9058
9230,1935073.4391,209.6504,7.9913,0.8625,8184.9671,2191.7098
20578,1422082.0026,69.1069,5.6988,0.8775,7976.6288,677.5237
5861,554415.0916,94.5939,7.6989,0.7768,3570.6042,1069.7965
12298,738505.584,60.0509,3.853,0.8463,6502.8599,519.4871
11343,614456.5842,54.1706,2.7775,0.6891,4585.2801,2136.3448
13833,1535672.6887,111.0152,8.3443,0.8343,6138.4492,882.6337
6500,188350.7546,28.977,4.5206,0.8595,3002.6293,565.313
14353,2526820.5561,176.0483,11.5456,0.9062,2678.5446,1214.5999
