trade_hour,mean,sum,count
0,89.1282,425052.5079,4769
1,87.9325,523198.6264,5950
2,74.2463,279834.3663,3769
3,108.0875,460020.5714,4256
4,111.8072,487367.5929,4359
5,97.8482,385913.3032,3944
6,68.3751,298730.7587,4369
7,171.3424,712784.3253,4160
8,106.2637,462140.6229,4349
9,81.4506,294525.2824,3616
10,127.2805,413788.813,3251
11,133.0072,472707.4662,3554
12,243.8238,911657.2604,3739
13,118.7076,434825.8797,3663
14,52.9,158171.107,2990
15,114.751,427562.2924,3726
16,79.9574,246188.8735,3079
17,66.4412,217196.37,3269
18,89.0539,433781.6333,4871
19,102.6668,705423.6864,6871
20,106.5626,632875.0649,5939
21,60.7737,343553.5812,5653
22,74.0477,381715.7598,5155
23,36.8011,187943.1985,5107
